Institution,State,Historically_Black,Predominantly_Black,Alask_Nat_Nat_Hawaiian_Serving,Tribal,Asian_American_Pacific_Islander_Serving,Hispanic_Serving,Native_American_Nontribal,Men_only,Women_only,Acceptance_rate,Average_SAT,Average_Cost_Of_Attendance,Avg_Net_Price_Pub_0_To_30000_Income,Avg_Net_Price_Pub_30000_To_48000_Income,Avg_Net_Price_Pub_48001_To_75000_Income,Avg_Net_Price_Pub_75001_To_110000_Income,Avg_Net_Price_Pub_110001_To_Inf_Income,Avg_Net_Price_Priv_0_To_30000_Income,Avg_Net_Price_Priv_30000_To_48000_Income,Avg_Net_Price_Priv_48001_To_75000_Income,Avg_Net_Price_Priv_75001_To_110000_Income,Avg_Net_Price_Priv_110001_To_Inf_Income,Perc_Undergrad_White,Perc_Undergrad_Black,Perc_Undergrad_Hispanic,Perc_Undergrad_Asian,Perc_Undergrad_Am_Indian_Alask_Native,Perc_Native_Hawaiin_Pac_Islander,Perc_Two_Or_More_Races,Perc_Receiving_Loan,Med_Loan_Debt,Inst_Loan_Debt,Socioeconomic_Div,White_Compl_Rate,Black_Compl_Rate,Hisp_Compl_Rate,Asian_Compl_Rate,Asian_Am_Pac_Islander_Compl_Rate,Native_Am_Pac_Islander_Compl_Rate,Two_Or_More_Races_Compl_Rate,Med_earnings
Alabama A & M University,AL,1,0,0,0,0,0,0,0,0,0.684,920,23167,14205,14526,16532,20139,17539,NA,NA,NA,NA,NA,0.0198,0.8955,0.011,0.0019,0.0025,0.0015,0.0127,0.5351,16600,18068,0.6553,0.2353,0.2665,0.4667,0,0.5,0,0.2235,35500
University of Alabama at Birmingham,AL,0,0,0,0,0,0,0,0,0,0.8668,1291,26257,14620,15130,17379,20045,19342,NA,NA,NA,NA,NA,0.513,0.2528,0.0711,0.0819,0.0016,5e-4,0.0491,0.4132,15832,19750,0.3374,0.6565,0.574,0.5294,0.8224,0.5455,1,0.6569,48400
The University of Alabama,AL,0,0,0,0,0,0,0,0,0,0.8006,1304,31024,17942,19931,21867,23680,23931,NA,NA,NA,NA,NA,0.7336,0.1072,0.0577,0.0146,0.0036,0.0011,0.0344,0.3388,17986,46725,0.1843,0.7475,0.6023,0.6683,0.7191,0.5833,0.5714,0.6679,51600
Auburn University,AL,0,0,0,0,0,0,0,0,0,0.4374,1292,33650,17481,19356,23336,26709,28876,NA,NA,NA,NA,NA,0.8269,0.0425,0.0395,0.0279,0.0025,6e-4,0.029,0.2787,17750,45036,0.1261,0.8216,0.6905,0.7654,0.8113,0.5714,1,0.7364,56300
Troy University,AL,0,0,0,0,0,0,0,0,0,0.9484,1050,22005,13911,14307,15892,15949,15573,NA,NA,NA,NA,NA,0.5303,0.3226,0.0457,0.0062,0.0026,0.0013,0.0426,0.6585,15985,13507,0.4376,0.5377,0.3669,0.2985,0.5455,0.1667,0,0.3433,41100
University of Alaska Anchorage,AK,0,0,0,0,0,0,0,0,0,0.6532,NA,23461,6450,9746,12476,16796,19569,NA,NA,NA,NA,NA,0.4923,0.036,0.1146,0.0937,0.051,0.0274,0.1226,0.1583,11231,14124,0.2718,0.3423,0.2222,0.2973,0.3404,0.0849,0.25,0.2012,51200
Alaska Pacific University,AK,0,0,1,0,0,0,1,0,0,0.9931,NA,36422,NA,NA,NA,NA,NA,19606,17622,20862,30422,28461,0.3282,0.0481,0.0153,0.0656,0.2757,0.0175,0.0263,0.5177,12696,15983,0.4029,0.3158,0,0.6667,1,0.75,0,0.2,45300
Arizona State University Campus Immersion,AZ,0,0,0,0,0,1,0,0,0,0.8975,NA,26937,8088,10194,15137,18632,20466,NA,NA,NA,NA,NA,0.4517,0.0429,0.2596,0.0877,0.0112,0.0021,0.0506,0.2831,13610,24927,0.3149,0.699,0.4923,0.6065,0.7755,0.4602,0.4375,0.6053,55500
University of Arizona,AZ,0,0,0,0,0,1,0,0,0,0.8676,1229,27682,11240,12651,14785,18520,20230,NA,NA,NA,NA,NA,0.4936,0.0414,0.2791,0.0526,0.013,0.0021,0.0511,0.2757,13750,30000,0.2848,0.6965,0.5567,0.6318,0.7579,0.4483,0.5,0.6851,56000
Embry-Riddle Aeronautical University-Prescott,AZ,0,0,0,0,0,0,0,0,0,0.68,1278,58036,NA,NA,NA,NA,NA,34045,34360,35777,39812,38784,0.5768,0.0186,0.1506,0.061,0.0051,0.0051,0.0684,0.3495,14250,57278,0.1791,0.7554,0.3333,0.6105,0.7297,0.6667,1,0.6579,70300
